"block","grazing","fuelbreak","invasive_grass","quadrat"
1,"ungrazed","control",19,100
1,"ungrazed","control",12,100
1,"ungrazed","control",53,100
1,"ungrazed","control",18,100
1,"ungrazed","control",66,100
1,"ungrazed","control",86,100
1,"ungrazed","control",29,100
1,"ungrazed","control",31,100
1,"ungrazed","control",84,100
1,"ungrazed","control",67,100
1,"ungrazed","control",24,100
1,"ungrazed","control",43,100
1,"ungrazed","herbicide",3,100
1,"ungrazed","herbicide",39,100
1,"ungrazed","greenstrip",41,100
1,"ungrazed","greenstrip",82,100
1,"ungrazed","greenstrip",48,100
1,"ungrazed","greenstrip",33,100
1,"ungrazed","greenstrip",21,100
1,"ungrazed","greenstrip",35,100
1,"ungrazed","greenstrip",7,100
1,"ungrazed","greenstrip",0,100
1,"ungrazed","greenstrip",43,100
1,"ungrazed","greenstrip",33,100
1,"ungrazed","greenstrip",74,100
1,"ungrazed","greenstrip",17,100
1,"ungrazed","greenstrip",21,100
1,"ungrazed","greenstrip",36,100
1,"ungrazed","greenstrip",27,100
1,"ungrazed","greenstrip",64,100
1,"ungrazed","greenstrip",104,100
1,"ungrazed","greenstrip",0,100
1,"ungrazed","greenstrip",57,100
1,"ungrazed","greenstrip",67,100
1,"ungrazed","greenstrip",0,100
1,"ungrazed","greenstrip",32,100
1,"ungrazed","greenstrip",56,100
1,"ungrazed","greenstrip",33,100
1,"ungrazed","greenstrip",93,100
1,"ungrazed","greenstrip",51,100
1,"ungrazed","greenstrip",73,100
1,"ungrazed","greenstrip",18,100
1,"fall","control",36,100
1,"fall","control",4,100
1,"fall","control",12,100
1,"fall","control",32,100
1,"fall","control",38,100
1,"fall","control",39,100
1,"fall","control",13,100
1,"fall","control",38,100
1,"fall","control",6,100
1,"fall","control",17,100
1,"fall","control",54,100
1,"fall","control",31,100
1,"fall","herbicide",0,100
1,"fall","herbicide",1,100
1,"fall","herbicide",0,100
1,"fall","herbicide",0,100
1,"fall","greenstrip",9,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",11,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",20,100
1,"fall","greenstrip",12,100
1,"fall","greenstrip",27,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",36,100
1,"fall","greenstrip",51,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",8,100
1,"fall","greenstrip",65,100
1,"fall","greenstrip",34,100
1,"fall","greenstrip",27,100
1,"fall","greenstrip",78,100
1,"fall","greenstrip",18,100
1,"fall","greenstrip",0,100
1,"fall","greenstrip",21,100
1,"fall","greenstrip",29,100
1,"fall","greenstrip",34,100
1,"fall","greenstrip",3,100
1,"fall","greenstrip",28,100
1,"fall","greenstrip",64,100
1,"fall","greenstrip",22,100
1,"fall","greenstrip",4,100
1,"fall","greenstrip",39,100
1,"fall","greenstrip",0,100
1,"fall","greenstrip",5,100
1,"fall","greenstrip",42,100
1,"fall","greenstrip",34,100
1,"fall","greenstrip",22,100
1,"fall","greenstrip",29,100
1,"fall","greenstrip",2,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",35,100
1,"fall","greenstrip",45,100
1,"fall","greenstrip",21,100
1,"fall","greenstrip",56,100
1,"fall","greenstrip",46,100
1,"fall","greenstrip",29,100
1,"fall","greenstrip",21,100
1,"fall","greenstrip",43,100
1,"fall","greenstrip",15,100
1,"fall","greenstrip",23,100
1,"fall","greenstrip",23,100
1,"fall","greenstrip",47,100
1,"fall","greenstrip",31,100
1,"fall","greenstrip",7,100
1,"fall","greenstrip",53,100
1,"fall","greenstrip",68,100
1,"fall","greenstrip",79,100
1,"spring","control",13,100
1,"spring","control",6,100
1,"spring","control",30,100
1,"spring","control",23,100
1,"spring","control",8,100
1,"spring","control",46,100
1,"spring","control",17,100
1,"spring","control",6,100
1,"spring","control",18,100
1,"spring","control",44,100
1,"spring","control",12,100
1,"spring","control",14,100
1,"spring","herbicide",3,10000
1,"spring","herbicide",0,100
1,"spring","greenstrip",23,100
1,"spring","greenstrip",15,100
1,"spring","greenstrip",4,100
1,"spring","greenstrip",20,100
1,"spring","greenstrip",43,100
1,"spring","greenstrip",12,100
1,"spring","greenstrip",6,100
1,"spring","greenstrip",7,100
1,"spring","greenstrip",38,100
1,"spring","greenstrip",3,100
1,"spring","greenstrip",38,100
1,"spring","greenstrip",19,100
1,"spring","greenstrip",21,100
1,"spring","greenstrip",19,100
1,"spring","greenstrip",14,100
1,"spring","greenstrip",39,100
1,"spring","greenstrip",29,100
1,"spring","greenstrip",12,100
1,"spring","greenstrip",5,100
1,"spring","greenstrip",28,100
1,"spring","greenstrip",21,100
1,"spring","greenstrip",9,100
1,"spring","greenstrip",28,100
1,"spring","greenstrip",10,100
1,"spring","greenstrip",26,100
1,"spring","greenstrip",47,100
1,"spring","greenstrip",13,100
1,"spring","greenstrip",7,100
2,"ungrazed","control",62,100
2,"ungrazed","control",64,100
2,"ungrazed","control",23,100
2,"ungrazed","control",71,100
2,"ungrazed","control",36,100
2,"ungrazed","control",18,100
2,"ungrazed","control",54,100
2,"ungrazed","control",49,100
2,"ungrazed","control",29,100
2,"ungrazed","control",53,100
2,"ungrazed","control",39,100
2,"ungrazed","control",129,100
2,"ungrazed","herbicide",16,625
2,"ungrazed","herbicide",64,100
2,"ungrazed","greenstrip",23,100
2,"ungrazed","greenstrip",87,100
2,"ungrazed","greenstrip",104,100
2,"ungrazed","greenstrip",49,100
2,"ungrazed","greenstrip",45,100
2,"ungrazed","greenstrip",63,100
2,"ungrazed","greenstrip",33,100
2,"ungrazed","greenstrip",50,100
2,"ungrazed","greenstrip",37,100
2,"ungrazed","greenstrip",62,100
2,"ungrazed","greenstrip",15,100
2,"ungrazed","greenstrip",23,100
2,"ungrazed","greenstrip",72,100
2,"ungrazed","greenstrip",45,100
2,"ungrazed","greenstrip",49,100
2,"ungrazed","greenstrip",59,100
2,"ungrazed","greenstrip",87,100
2,"ungrazed","greenstrip",58,100
2,"ungrazed","greenstrip",39,100
2,"ungrazed","greenstrip",65,100
2,"ungrazed","greenstrip",44,100
2,"ungrazed","greenstrip",74,100
2,"ungrazed","greenstrip",26,100
2,"ungrazed","greenstrip",49,100
2,"ungrazed","greenstrip",42,100
2,"ungrazed","greenstrip",51,100
2,"ungrazed","greenstrip",53,100
2,"ungrazed","greenstrip",32,100
2,"ungrazed","greenstrip",82,100
2,"ungrazed","greenstrip",33,100
2,"fall","control",71,100
2,"fall","control",59,100
2,"fall","control",76,100
2,"fall","control",79,100
2,"fall","control",28,100
2,"fall","control",19,100
2,"fall","control",24,100
2,"fall","control",4,100
2,"fall","control",20,100
2,"fall","control",119,100
2,"fall","control",77,100
2,"fall","control",24,100
2,"fall","herbicide",0,100
2,"fall","herbicide",4,10000
2,"fall","greenstrip",53,100
2,"fall","greenstrip",48,100
2,"fall","greenstrip",56,100
2,"fall","greenstrip",91,100
2,"fall","greenstrip",85,100
2,"fall","greenstrip",46,100
2,"fall","greenstrip",20,100
2,"fall","greenstrip",29,100
2,"fall","greenstrip",31,100
2,"fall","greenstrip",36,100
2,"fall","greenstrip",73,100
2,"fall","greenstrip",75,100
2,"fall","greenstrip",31,100
2,"fall","greenstrip",43,100
2,"fall","greenstrip",69,100
2,"fall","greenstrip",44,100
2,"fall","greenstrip",45,100
2,"fall","greenstrip",76,100
2,"fall","greenstrip",26,100
2,"fall","greenstrip",8,100
2,"fall","greenstrip",34,100
2,"fall","greenstrip",52,100
2,"fall","greenstrip",6,100
2,"fall","greenstrip",24,100
2,"fall","greenstrip",35,100
2,"fall","greenstrip",11,100
2,"fall","greenstrip",39,100
2,"fall","greenstrip",26,100
2,"fall","greenstrip",11,625
2,"fall","greenstrip",27,100
2,"spring","control",27,100
2,"spring","control",47,100
2,"spring","control",46,100
2,"spring","control",41,100
2,"spring","control",26,100
2,"spring","control",23,100
2,"spring","control",39,100
2,"spring","control",79,100
2,"spring","control",8,100
2,"spring","control",41,100
2,"spring","control",53,100
2,"spring","control",49,2500
2,"spring","herbicide",0,100
2,"spring","herbicide",2,2500
2,"spring","greenstrip",42,100
2,"spring","greenstrip",34,100
2,"spring","greenstrip",58,100
2,"spring","greenstrip",38,100
2,"spring","greenstrip",76,100
2,"spring","greenstrip",21,100
2,"spring","greenstrip",42,100
2,"spring","greenstrip",74,100
2,"spring","greenstrip",53,100
2,"spring","greenstrip",41,100
2,"spring","greenstrip",49,100
2,"spring","greenstrip",31,100
2,"spring","greenstrip",31,100
2,"spring","greenstrip",37,100
2,"spring","greenstrip",70,100
2,"spring","greenstrip",46,100
2,"spring","greenstrip",43,100
2,"spring","greenstrip",16,100
2,"spring","greenstrip",82,100
2,"spring","greenstrip",44,100
2,"spring","greenstrip",65,100
2,"spring","greenstrip",42,100
2,"spring","greenstrip",56,100
2,"spring","greenstrip",72,100
2,"spring","greenstrip",44,100
2,"spring","greenstrip",67,100
2,"spring","greenstrip",75,100
2,"spring","greenstrip",57,100
2,"spring","greenstrip",19,100
2,"spring","greenstrip",157,100
3,"ungrazed","control",46,100
3,"ungrazed","control",32,100
3,"ungrazed","control",40,100
3,"ungrazed","control",94,100
3,"ungrazed","control",29,100
3,"ungrazed","control",19,2500
3,"ungrazed","control",96,100
3,"ungrazed","control",40,100
3,"ungrazed","control",31,100
3,"ungrazed","control",58,100
3,"ungrazed","control",19,100
3,"ungrazed","control",182,100
3,"ungrazed","herbicide",8,2500
3,"ungrazed","herbicide",5,2500
3,"ungrazed","herbicide",3,2500
3,"ungrazed","herbicide",10,2500
3,"ungrazed","greenstrip",27,100
3,"ungrazed","greenstrip",31,100
3,"ungrazed","greenstrip",13,100
3,"ungrazed","greenstrip",44,100
3,"ungrazed","greenstrip",11,100
3,"ungrazed","greenstrip",94,100
3,"ungrazed","greenstrip",71,100
3,"ungrazed","greenstrip",22,100
3,"ungrazed","greenstrip",11,100
3,"ungrazed","greenstrip",31,100
3,"ungrazed","greenstrip",22,100
3,"ungrazed","greenstrip",28,100
3,"ungrazed","greenstrip",65,100
3,"ungrazed","greenstrip",39,100
3,"ungrazed","greenstrip",39,100
3,"ungrazed","greenstrip",56,100
3,"ungrazed","greenstrip",67,100
3,"ungrazed","greenstrip",79,100
3,"ungrazed","greenstrip",28,2500
3,"ungrazed","greenstrip",11,100
3,"ungrazed","greenstrip",32,100
3,"ungrazed","greenstrip",65,100
3,"ungrazed","greenstrip",8,100
3,"ungrazed","greenstrip",74,100
3,"ungrazed","greenstrip",11,100
3,"ungrazed","greenstrip",82,100
3,"ungrazed","greenstrip",106,100
3,"ungrazed","greenstrip",18,100
3,"ungrazed","greenstrip",62,100
3,"ungrazed","greenstrip",27,100
3,"ungrazed","greenstrip",47,100
3,"ungrazed","greenstrip",91,100
3,"ungrazed","greenstrip",54,100
3,"ungrazed","greenstrip",117,100
3,"ungrazed","greenstrip",54,100
3,"ungrazed","greenstrip",52,100
3,"ungrazed","greenstrip",42,100
3,"ungrazed","greenstrip",56,100
3,"ungrazed","greenstrip",61,100
3,"ungrazed","greenstrip",92,100
3,"ungrazed","greenstrip",38,100
3,"ungrazed","greenstrip",31,100
3,"ungrazed","greenstrip",148,100
3,"ungrazed","greenstrip",33,100
3,"ungrazed","greenstrip",35,100
3,"ungrazed","greenstrip",48,100
3,"ungrazed","greenstrip",21,100
3,"ungrazed","greenstrip",24,100
3,"ungrazed","greenstrip",72,100
3,"ungrazed","greenstrip",33,100
3,"ungrazed","greenstrip",17,100
3,"ungrazed","greenstrip",46,100
3,"ungrazed","greenstrip",27,100
3,"ungrazed","greenstrip",17,100
3,"ungrazed","greenstrip",40,100
3,"ungrazed","greenstrip",105,100
3,"ungrazed","greenstrip",8,100
3,"ungrazed","greenstrip",17,100
3,"ungrazed","greenstrip",32,100
3,"ungrazed","greenstrip",26,100
3,"fall","control",124,100
3,"fall","control",44,100
3,"fall","control",66,100
3,"fall","control",53,100
3,"fall","control",106,100
3,"fall","control",79,100
3,"fall","control",45,100
3,"fall","control",71,100
3,"fall","control",102,100
3,"fall","control",31,100
3,"fall","control",27,100
3,"fall","control",56,100
3,"fall","herbicide",3,625
3,"fall","herbicide",5,100
3,"fall","greenstrip",109,100
3,"fall","greenstrip",99,100
3,"fall","greenstrip",66,100
3,"fall","greenstrip",36,100
3,"fall","greenstrip",42,100
3,"fall","greenstrip",56,100
3,"fall","greenstrip",67,100
3,"fall","greenstrip",97,100
3,"fall","greenstrip",16,100
3,"fall","greenstrip",47,100
3,"fall","greenstrip",14,100
3,"fall","greenstrip",34,100
3,"fall","greenstrip",14,100
3,"fall","greenstrip",66,100
3,"fall","greenstrip",64,100
3,"fall","greenstrip",48,100
3,"fall","greenstrip",51,100
3,"fall","greenstrip",60,100
3,"fall","greenstrip",62,100
3,"fall","greenstrip",78,100
3,"fall","greenstrip",46,100
3,"fall","greenstrip",41,100
3,"fall","greenstrip",70,100
3,"fall","greenstrip",39,100
3,"fall","greenstrip",39,100
3,"fall","greenstrip",74,100
3,"fall","greenstrip",23,100
3,"fall","greenstrip",27,100
3,"fall","greenstrip",72,100
3,"fall","greenstrip",87,100
3,"spring","control",62,100
3,"spring","control",16,100
3,"spring","control",24,100
3,"spring","control",61,100
3,"spring","control",15,100
3,"spring","control",84,100
3,"spring","control",26,100
3,"spring","control",57,100
3,"spring","control",25,100
3,"spring","control",74,100
3,"spring","control",46,100
3,"spring","control",39,100
3,"spring","herbicide",6,100
3,"spring","herbicide",15,2500
3,"spring","greenstrip",67,100
3,"spring","greenstrip",36,100
3,"spring","greenstrip",23,100
3,"spring","greenstrip",35,100
3,"spring","greenstrip",40,100
3,"spring","greenstrip",27,100
3,"spring","greenstrip",39,100
3,"spring","greenstrip",56,100
3,"spring","greenstrip",79,100
3,"spring","greenstrip",20,100
3,"spring","greenstrip",36,100
3,"spring","greenstrip",54,100
3,"spring","greenstrip",34,100
3,"spring","greenstrip",88,100
3,"spring","greenstrip",31,100
3,"spring","greenstrip",22,100
3,"spring","greenstrip",14,2500
3,"spring","greenstrip",42,100
3,"spring","greenstrip",39,100
3,"spring","greenstrip",36,100
3,"spring","greenstrip",18,100
3,"spring","greenstrip",15,100
3,"spring","greenstrip",21,100
3,"spring","greenstrip",44,100
3,"spring","greenstrip",27,100
3,"spring","greenstrip",34,100
3,"spring","greenstrip",97,100
3,"spring","greenstrip",63,100
3,"spring","greenstrip",57,100
3,"spring","greenstrip",45,100
3,"spring","greenstrip",30,100
3,"spring","greenstrip",48,100
3,"spring","greenstrip",49,2500
3,"spring","greenstrip",77,100
3,"spring","greenstrip",52,100
3,"spring","greenstrip",54,100
3,"spring","greenstrip",38,100
3,"spring","greenstrip",76,100
