type,recipe_id,baking powder,baking soda,butter,buttermilk,chocolate,cornmeal,cream cheese,eggs,flour,fruit,fruit juice,honey,margarine,milk,nut,oats,oil,other,salt,sour cream,spice,starch,sugar,unitless,vanilla,vegetable,vinegar,water,yogurt
Cupcake,145206,0.0017361083333333333,8.680541666666666e-4,0,0,0,0,0,0,0.09375,0,0,0.010416666666666666,0,0.0625,0.04513888333333333,0,0.027777777777777776,0,4.340270833333333e-4,0,0,0,0.05555555555555555,0,0.0034722166666666665,0,0.0034722166666666665,0,0
Cupcake,240140,8.680541666666666e-4,6.944433333333333e-4,0.016666666666666666,0,0,0,0.03333333333333333,0.13333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0.05,0,3.4722166666666663e-4,0,0.0024305516666666667,0,0.16666666666666666,0,0,0.05,0,0,0
Cupcake,161019,8.680541666666666e-4,0.0017361083333333333,0,0.041666666666666664,0.033854166666666664,0,0,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0.020833333333333332,0.041666666666666664,4.340270833333333e-4,0,0,0,0.08333333333333333,0.041666666666666664,0,0,0,0,0
Muffin,16945,0,0,0.07407407407407407,0,0,0,0,0.2222222222222222,0.05555555555555555,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0
Muffin,228562,0.0011574055555555556,0.002314811111111111,0.006944444444444444,0,0,0,0,0.16666666666666666,0.14583333333333334,0.041666666666666664,0,0,0,0,0,0.034722222222222224,0.037037037037037035,0,0.0011574055555555556,0,0.004629622222222222,0,0.125,0,0.0011574055555555556,0.08333333333333333,0,0,0
Cupcake,215375,0.00130208125,6.51040625e-4,0,0,0,0,0.03125,0.125,0.0546875,9.765609375e-4,0.001953125,0,0.005859375,0,0,0,0.0234375,0,4.8828046875e-4,0,0.0026041625,0.0078125,0.1875,0,0.00130208125,0.05859375,0,0,0
Cupcake,242474,0.00208333,0,0,0,0,0,0,0.6,0.05,0,0,0,0,0.0125,0,0,0.05,0,0.001041665,0,0,0,0.06666666666666667,0,0.00416666,0,0,0,0
Cupcake,233538,0.0031249949999999998,5.208325e-4,0.05,0,0,0,0,0.3,0.15,0.015625,0,0,0,0.06666666666666667,0,0,0,0,0.001041665,0,0,0,0.13333333333333333,0,0.00208333,0,0,0,0
Cupcake,155534,0.002314811111111111,5.787027777777778e-4,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0.08333333333333333,0,0,0.027777777777777776,0,5.787027777777778e-4,0,0,0,0.05555555555555555,0,0.0014467569444444443,0,0.003472222222222222,0,0
Muffin,6753,0.006944433333333333,0,0,0,0.0625,0,0,0.08333333333333333,0.10416666666666667,0,0,0,0,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.041666666666666664,0,0.0017361083333333333,0,0,0,0.0625,0,0,0,0,0,0
Cupcake,242508,8.680541666666666e-4,8.680541666666666e-4,0.041666666666666664,0.027777777777777776,0,0,0,0.16666666666666666,0.08333333333333333,0.026041666666666668,0,0,0,0,0,0,0.020833333333333332,0.020833333333333332,0,0,0,0,0.4166666666666667,0.16666666666666666,0,0,0,0.020833333333333332,0
Cupcake,15494,0,0.0026041625,0,0,0.027777777777777776,0,0,0,0.125,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.08333333333333333,0,0.0017361083333333333,0,0,0.08333333333333333,0
Cupcake,137363,0.0026041625,0,0.0390625,0,0.046875,0,0,0.25,0.09375,0,0,0,0,0.046875,3.255203125e-4,0,0,0,3.255203125e-4,0,0,0,0.078125,0,0.00130208125,0,0,0,0
Cupcake,245179,6.51040625e-4,6.51040625e-4,0.015625,0,0,0,0.015625,0.125,0.0625,0,0,0,0.005208325,0.015625,0,0,0,0,3.255203125e-4,0,9.765609375e-4,0,0.046875,0,0.0026041625,0.03125,0,0,0.015625
Muffin,17652,0.00208333,0.00208333,0.03958333333333333,0,0,0,0,0.1,0.1625,0,0,0,0,0,0,0,0,0,0.001041665,0,2.6041625e-4,0,0.10833333333333332,0.1,0,0,0,0,0
Muffin,7113,0.0021701354166666666,8.680541666666666e-4,0,0,0.041666666666666664,0,0,0.16666666666666666,0.125,0.10416666666666667,0,0,0,0,0,0,0,0,2.1701354166666666e-4,0,8.680541666666666e-4,0,0.0625,0,0,0,0,0,0
Muffin,18347,0.005208333333333333,0,0.041666666666666664,0,0,0.041666666666666664,0,0.08333333333333333,0.10416666666666667,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,8.680541666666666e-4,0,0,0,0.041666666666666664,0,0,0,0,0,0
Cupcake,235906,0,0,0.013020833333333334,0,0,0,0.08333333333333333,0.16666666666666666,0.005208333333333333,0,8.680541666666666e-4,0,0,0,0.052083333333333336,0,0,0.03125,0,0.010416666666666666,4.340270833333333e-4,0,0.026041666666666668,0.041666666666666664,8.680541666666666e-4,0,0,0,0
Muffin,27326,0.0034722166666666665,0,0.010416666666666666,0.041666666666666664,0,0,0,0.16666666666666666,0.1875,0,0.041666666666666664,0,0,0,0,0,0.027777777777777776,0,8.680541666666666e-4,0,0.005208325,0,0.09895833333333333,0,0.0017361083333333333,0,0,0,0
Muffin,218614,0.0034722166666666665,0,0,0,0,0,0,0.08333333333333333,0.125,0.20833333333333334,0,0,0,0.027777777777777776,0,0,0.027777777777777776,0,8.680541666666666e-4,0,0,0,0.0625,0,0,0,0,0,0
Cupcake,262507,0.0026041625,0,0,0,0,0,0.041666666666666664,0.16666666666666666,0.125,0.0034722166666666665,0.0182291625,0,0,0.041666666666666664,0.08333333333333333,0,0.0625,0,4.340270833333333e-4,0,0,0,0.20833333333333334,0,0.0017361083333333333,0,0,0,0
Muffin,59248,8.680541666666666e-4,8.680541666666666e-4,0,0,0,0,0,0.16666666666666666,0.13194444444444445,0.06944444444444445,0,0,0,0,0.027777777777777776,0,0,0,8.680541666666666e-4,0,0.0026041625,0,0.1111111111111111,0,0,0.10069444444444445,0,0,0
Muffin,42719,0.0017361083333333333,0.0017361083333333333,0.027777777777777776,0,0,0,0,0.08333333333333333,0.125,0,0,0,0,0,0,0,0,0,8.680541666666666e-4,0,0,0,0.0625,0.08333333333333333,0,0,0,0,0
Muffin,150141,8.680541666666666e-4,8.680541666666666e-4,0.0026041666666666665,0.041666666666666664,0,0,0,0.041666666666666664,0.10416666666666667,0.0625,0,0,0,0,0.020833333333333332,0,0.020833333333333332,0,4.340270833333333e-4,0,8.680541666666666e-4,0,0.06597222222222222,0,8.680541666666666e-4,0,0,0,0
Muffin,8443,0.0034722166666666665,0,0.041666666666666664,0,0,0,0,0.16666666666666666,0.16666666666666666,0.125,0,0,0,0.041666666666666664,0,0,0,0,8.680541666666666e-4,0,0,0,0.10416666666666667,0,0,0,0,0,0
Cupcake,260789,0.0026041625,4.340270833333333e-4,0.10416666666666667,0,0.09722222222222221,0,0,0.08333333333333333,0.1111111111111111,0,0,0,0,0.09375,0,0,0,8.680541666666666e-4,4.340270833333333e-4,0,4.340270833333333e-4,0,0.5,0,0.0034722166666666665,0,0,0,0
Cupcake,69133,0.0026041666666666665,0,0.041666666666666664,0,0.08854166666666667,0,0,0.125,0.09375,0,0,0,0,0.03125,0.020833333333333332,0,0,0,0,0,0,0,0.0625,0.041666666666666664,8.680541666666666e-4,0,0,0,0
Cupcake,220884,0.0015190947916666666,0,0.0625,0,0,0,0,0.08333333333333333,0.0625,0,0,0,0,0.020833333333333332,0.020833333333333332,0,0,0,2.1701354166666666e-4,0,0,0,0.20833333333333334,0.041666666666666664,0.0021701354166666666,0,0,0,0
Cupcake,234807,0.0017361083333333333,4.340270833333333e-4,0.020833333333333332,0.0625,0.015625,0,0,0.16666666666666666,0.1111111111111111,0,0,0,0,0,0,0,0,0.005208333333333333,8.680541666666666e-4,0,0,0,0.08333333333333333,0,0.0017361083333333333,0,0.0034722166666666665,0,0
Muffin,231643,0,0.0026041625,0,0,0,0,0,0.16666666666666666,0.08333333333333333,0.041666666666666664,0,0,0,0,0.08333333333333333,0.041666666666666664,0.020833333333333332,0,0.0017361083333333333,0,0.0026041625,0,0.041666666666666664,0.25,0,0,0,0,0.020833333333333332
